crm:E53,rdfs:label,owl:sameAs
milan,Milan,https://www.geonames.org/3173435
constantinople,Costantinople,https://www.wikidata.org/entity/Q16869
turin,Turin,https://www.geonames.org/3165524
pisa,Pisa,https://www.geonames.org/3170647
rome,Rome,https://www.geonames.org/3169070/
hollywood,"Hollywood, California, US",https://www.geonames.org/5357527
united-states,United States,https://www.geonames.org/6252001
germany,Germany,https://www.geonames.org/2921044
france,France,https://www.geonames.org/3017382
